;open;high;low;close;1h_chg%;24h_chg%;next_1h_chg;next_1h_high%;next_3h_high%;next_24h_chg;volume;qav;num_trades;taker_base_vol;taker_quote_vol;taker%;open_interest;oi_24h_chg%;oi_7d_chg%;%_long;%L_24h_chg%;%L_7d_chg%;fundings;fund_24h_chg;fund_7d_chg;liquidations_long;liquidations_short
21/12/2023 22:00;43994,93;44020,4;43885,53;43949,44;-0,10%;0,64%;-0,20%;0,00%;0,69%;-0,55%;785,46857;34526838,03;38829;337,51581;14836462,3;43%;80275,459;0,69%;5,65%;48,94;5,41%;-5,83%;0,028948;0,53%;1,89%;18383,849;18383,849
21/12/2023 23:00;43949,43;43950;43793,34;43861,8;-0,20%;0,64%;-0,07%;0,19%;0,89%;-0,14%;780,41734;34240580,8;36759;363,47378;15946207,34;47%;80534,035;0,75%;6,22%;48,52;3,87%;-5,69%;0,028948;0,18%;1,89%;216408,759;216408,759
22/12/2023 00:00;43861,79;43945;43722,46;43828,94;-0,07%;0,85%;0,65%;0,96%;0,96%;0,32%;756,38114;33166710,48;36470;379,8739;16657518,73;50%;80205,017;0,60%;5,66%;48,2;2,71%;-5,68%;0,030806;0,37%;2,08%;156341,2752;156341,2752
22/12/2023 01:00;43828,94;44251;43828,93;44111,99;0,65%;1,66%;-0,33%;0,08%;0,08%;-0,68%;2289,84728;100939680,4;70721;1382,40212;60928980,74;60%;81487,587;2,07%;7,68%;48,45;2,45%;-4,93%;0,030806;0,37%;2,08%;10598,28;10598,28
22/12/2023 02:00;44112;44145,09;43911,1;43966,08;-0,33%;0,73%;0,10%;0,17%;0,60%;-0,75%;1205,05241;53062048,29;50790;548,57648;24154755,72;46%;81298,797;1,80%;7,20%;47,86;-0,04%;-5,38%;0,030806;0,37%;2,08%;63503,2554;63503,2554
22/12/2023 03:00;43966,07;44040,47;43890,94;44008;0,10%;0,87%;0,22%;0,31%;0,89%;-1,18%;788,69281;34668888,69;35685;396,86378;17444819,24;50%;81378,414;1,52%;7,67%;47,5;-0,65%;-6,03%;0,030806;0,37%;2,08%;165166,125;165166,125
22/12/2023 04:00;44008;44142,47;43924,81;44103,86;0,22%;1,36%;0,08%;0,29%;0,67%;-1,31%;781,55582;34419327,3;34915;368,87665;16246019,64;47%;81510,155;1,82%;7,18%;47,41;-1,39%;-6,56%;0,030806;0,37%;2,08%;0;0
22/12/2023 05:00;44103,86;44230,22;44082;44138;0,08%;0,75%;-0,60%;0,59%;0,59%;-1,44%;976,24582;43109745,7;38757;510,29108;22534485,24;52%;82111,024;2,62%;8,29%;47,42;-1,31%;-7,17%;0,030806;0,37%;2,08%;795,105;795,105
22/12/2023 06:00;44138,01;44398,26;43820;43874,95;-0,60%;0,25%;-0,66%;0,20%;0,20%;-0,79%;2598,78433;114633819,1;124223;1334,20533;58865231,98;51%;81543,558;1,66%;7,88%;46,82;-4,45%;-9,14%;0,030806;0,37%;2,08%;430897,4096;430897,4096
22/12/2023 07:00;43874,95;43962;43534,47;43584,37;-0,66%;-0,22%;0,06%;0,50%;0,50%;-0,18%;2852,8405;124876421,8;119179;1276,55257;55885272,53;45%;80979,422;1,32%;7,88%;46,92;-4,67%;-9,42%;0,030806;0,16%;2,08%;1819623,866;1819623,866
22/12/2023 08:00;43584,37;43803,08;43563,97;43610,01;0,06%;-0,31%;0,30%;0,41%;0,53%;-0,01%;1754,68857;76678201,06;68747;831,74737;36344132,27;47%;80458,403;0,00%;6,63%;47,66;-4,07%;-7,26%;0,02961;0,04%;1,96%;3403,7952;3403,7952
22/12/2023 09:00;43610;43787,66;43463;43741,96;0,30%;-0,55%;-0,09%;0,06%;0,22%;-0,25%;2334,88929;101845567,8;105276;1010,00543;44063872,65;43%;79870,553;-1,60%;5,47%;48,93;-1,96%;-4,88%;0,02961;0,04%;1,96%;370879,0162;370879,0162
22/12/2023 10:00;43741,95;43766,08;43650,01;43701,01;-0,09%;-0,52%;0,12%;0,32%;0,32%;-0,32%;846,01307;36983508,24;41778;385,10542;16834553,96;46%;79863,388;-2,51%;5,21%;50,66;1,73%;-1,38%;0,02961;0,04%;1,96%;0;0
22/12/2023 11:00;43701,01;43839,22;43632,03;43753,94;0,12%;-0,66%;-0,43%;0,09%;0,13%;-0,31%;912,3394;39902057,32;44214;448,71486;19626645,15;49%;79395,402;-3,90%;4,74%;50,72;3,38%;-1,27%;0,02961;0,04%;1,96%;0;0
22/12/2023 12:00;43753,95;43792;43501;43567,91;-0,43%;-1,31%;0,29%;0,55%;0,55%;0,14%;1427,16459;62251747,81;52427;629,60049;27460499,59;44%;79194,682;-4,17%;4,29%;51,06;7,29%;-1,81%;0,02961;0,04%;1,96%;223563,8776;223563,8776
22/12/2023 13:00;43567,9;43809,4;43534;43693,99;0,29%;0,40%;-0,13%;0,11%;0,11%;-0,25%;1361,35539;59479331,09;55467;642,91908;28085844,59;47%;79229,278;-3,40%;3,69%;51,45;8,70%;-2,91%;0,02961;0,04%;1,96%;4373,42;4373,42
22/12/2023 14:00;43693,99;43743,13;43412,54;43636,39;-0,13%;-0,43%;0,08%;0,15%;0,23%;-0,20%;1759,18713;76625677,79;86832;850,75956;37055391,56;48%;79189,326;-3,76%;3,33%;51,34;10,05%;-6,64%;0,02961;0,04%;1,96%;390239,4672;390239,4672
22/12/2023 15:00;43636,38;43701,1;43553,13;43671,1;0,08%;0,01%;-0,27%;0,08%;0,73%;0,08%;1177,0481;51353458,73;60920;632,48395;27595020,68;54%;78695,41;-4,30%;2,66%;51,87;9,89%;-7,28%;0,02961;0,07%;1,96%;0;0
22/12/2023 16:00;43671,1;43708;43481,14;43554,39;-0,27%;0,24%;0,30%;0,42%;1,00%;0,36%;1002,14279;43700275,58;51051;495,18022;21591394,78;49%;78846,752;-3,22%;2,57%;51,77;8,99%;-8,61%;0,018011;-1,09%;0,80%;63114,1208;63114,1208
22/12/2023 17:00;43554,39;43736,54;43545,61;43686,9;0,30%;0,24%;0,60%;0,70%;0,70%;0,22%;978,98815;42721068,82;46028;455,16891;19861194,45;46%;78244,728;-3,57%;1,64%;51,84;6,73%;-9,83%;0,018011;-1,09%;0,80%;961,686;961,686
22/12/2023 18:00;43686,89;43992;43654,7;43950;0,60%;0,83%;-0,70%;0,00%;0,00%;-0,44%;1819,91306;79807937,44;66967;986,33437;43248756,08;54%;78084,751;-3,82%;1,33%;51,35;5,07%;-10,84%;0,018011;-1,09%;0,80%;307,8845;307,8845
22/12/2023 19:00;43949,99;43950;43613,02;43640,79;-0,70%;-0,36%;0,01%;0,23%;0,36%;0,34%;1295,98161;56668150,34;52822;596,63789;26081810,12;46%;77597,574;-4,45%;1,49%;51,2;2,40%;-11,13%;0,018011;-1,09%;0,80%;88424,46;88424,46
22/12/2023 20:00;43640,79;43740;43617,44;43645,22;0,01%;-0,79%;0,14%;0,30%;0,92%;0,23%;1343,49413;58709733,27;44833;543,3854;23744209,34;40%;77741,236;-3,26%;1,97%;51,48;3,92%;-9,97%;0,018011;-1,09%;0,80%;1004,4675;1004,4675
22/12/2023 21:00;43645,22;43775,54;43645,22;43706,24;0,14%;-0,55%;0,21%;0,21%;0,78%;0,19%;790,61279;34547956,24;37638;406,18924;17750710,33;51%;77506,064;-3,45%;2,23%;51,67;5,58%;-8,69%;0,018011;-1,09%;0,80%;393,597;393,597
