Time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1603490400000,408.9,410.12,407.52,409.44,36244.523,1603493999999,14817890.25189,17852,19554.43,7994041.39775,0
1603494000000,409.44,410.38,408.1,409.4,42334.567,1603497599999,17330228.318,16748,19278.97,7891477.10123,0
1603497600000,409.41,410.2,407.33,408.5,37222.598,1603501199999,15212628.20441,18201,18184.97,7434051.55333,0
1603501200000,408.51,412.0,408.44,411.4,51132.311,1603504799999,20995936.10766,22630,28486.894,11696659.64863,0
1603504800000,411.39,414.0,410.79,412.67,57474.053,1603508399999,23714137.18909,22177,31801.938,13122028.46281,0
1603508400000,412.66,414.39,411.26,412.05,54646.972,1603511999999,22553841.75561,21530,23558.49,9727702.10339,0
1603512000000,412.05,413.6,411.69,412.19,41188.603,1603515599999,16991857.02937,17181,19821.828,8178520.19901,0
1603515600000,412.19,413.26,411.48,412.87,31669.209,1603519199999,13056683.45604,16901,15437.498,6366862.15246,0
1603519200000,412.88,413.1,411.68,412.03,24903.915,1603522799999,10271406.32141,15797,12187.493,5027121.69686,0
1603522800000,412.04,412.85,410.01,410.51,48825.428,1603526399999,20084975.91941,20440,20543.164,8452369.48306,0
1603526400000,410.52,411.62,408.26,409.66,65343.925,1603529999999,26770754.43022,23754,28051.873,11493504.07323,0
1603530000000,409.66,412.1,408.16,411.22,55811.813,1603533599999,22909350.81094,21638,29436.594,12086106.80149,0
1603533600000,411.21,413.77,410.11,413.38,60483.396,1603537199999,24944247.71483,21763,32137.342,13256983.69969,0
1603537200000,413.38,414.97,412.12,414.68,46674.973,1603540799999,19293193.3606,21920,24229.594,10018081.15451,0
1603540800000,414.67,415.6,412.66,412.97,52962.648,1603544399999,21915595.20434,21083,25903.611,10723584.79858,0
1603544400000,412.97,414.94,412.64,413.94,38380.807,1603547999999,15885662.48464,18207,19848.876,8216503.26486,0
1603548000000,413.93,416.9,411.02,415.21,195926.445,1603551599999,81059678.15689,47788,93247.494,38592323.29936,0
1603551600000,415.21,417.16,414.02,414.46,107442.411,1603555199999,44679841.91866,31252,47367.864,19704867.93187,0
1603555200000,414.46,415.26,411.61,413.41,85233.907,1603558799999,35214388.60045,26740,37238.47,15388058.71896,0
1603558800000,413.41,414.86,413.27,414.28,39473.703,1603562399999,16346189.69149,17053,21083.471,8731734.75776,0
1603562400000,414.29,414.51,412.8,413.44,33653.228,1603565999999,13917771.83215,15246,13419.481,5550204.31348,0
1603566000000,413.44,414.4,411.73,413.6,30785.575,1603569599999,12716945.59125,16733,11833.027,4890767.33821,0
1603569600000,413.6,413.88,410.2,411.65,43212.134,1603573199999,17800466.81824,19464,16682.623,6875320.32172,0
1603573200000,411.65,412.65,409.04,410.3,55468.992,1603576799999,22785420.1735,23470,22460.539,9229781.49441,0
1603576800000,410.3,411.91,408.28,411.51,50775.391,1603580399999,20826330.87012,20790,23502.185,9638558.72698,0
1603580400000,411.51,412.69,411.11,412.34,20916.493,1603583999999,8619399.3298,19098,9329.136,3844978.26765,0
1603584000000,412.34,413.88,410.6,413.4,42934.07,1603587599999,17705229.53333,19645,20973.971,8650038.09647,0
1603587600000,413.4,414.13,412.43,413.52,27571.692,1603591199999,11396959.05895,15813,14794.444,6116561.7018,0
1603591200000,413.52,413.82,412.41,412.58,24354.563,1603594799999,10059472.11384,14980,8512.419,3516734.61257,0
1603594800000,412.58,416.5,411.5,415.34,120985.547,1603598399999,50108314.06412,36636,56989.685,23616578.61012,0
1603598400000,415.36,417.89,414.41,417.0,79906.988,1603601999999,33256251.60953,25503,43648.943,18169959.50294,0
1603602000000,417.0,417.0,403.2,406.68,251444.259,1603605599999,102842276.32943,57526,95682.904,39099977.66601,0
1603605600000,406.68,409.31,405.5,408.55,87451.282,1603609199999,35683941.64876,27105,42758.604,17451570.53856,0
1603609200000,408.55,409.85,407.73,409.65,54832.314,1603612799999,22417937.19566,19264,26078.123,10664392.06831,0
1603612800000,409.65,409.77,407.5,409.27,51681.919,1603616399999,21127806.31151,20173,22711.129,9286640.09848,0
1603616400000,409.28,409.33,407.35,408.14,35325.107,1603619999999,14416274.35885,17877,13811.939,5637448.27238,0
1603620000000,408.14,408.52,405.86,407.99,46920.179,1603623599999,19112305.00076,20627,19240.642,7839234.39286,0
1603623600000,407.99,407.99,404.71,407.17,78093.748,1603627199999,31738035.05728,25552,35398.199,14391595.77987,0
1603627200000,407.17,408.77,406.18,407.75,46450.867,1603630799999,18941814.40671,18501,25125.037,10246290.02569,0
1603630800000,407.75,409.45,407.05,408.13,42790.392,1603634399999,17476018.86871,18570,22443.079,9167895.15143,0
1603634400000,408.13,408.93,407.43,408.38,25511.991,1603637999999,10413179.9625,15708,11288.433,4608002.56958,0
1603638000000,408.37,409.05,405.5,406.11,51902.669,1603641599999,21135246.27868,23637,20746.265,8449817.25129,0
1603641600000,406.04,409.0,402.6,408.02,85345.416,1603645199999,34669231.98907,29154,38147.869,15515979.49574,0
1603645200000,408.01,408.83,407.12,407.9,24932.344,1603648799999,10171139.61656,16243,13329.092,5438380.5092,0
1603648800000,407.9,408.2,405.98,406.96,26404.166,1603652399999,10748567.50229,16562,12550.088,5109814.21134,0
1603652400000,406.96,408.4,406.94,408.33,20132.679,1603655999999,8207757.3612,13998,12669.967,5166763.71378,0
1603656000000,408.34,408.88,407.48,407.53,17279.808,1603659599999,7053608.55344,14742,7679.363,3135782.14917,0
1603659600000,407.53,408.29,406.85,408.01,23181.927,1603663199999,9447712.61121,16132,10918.188,4450993.09103,0
1603663200000,408.0,408.12,404.51,406.29,55374.42,1603666799999,22474364.78598,18849,23810.9,9665217.50449,0
1603666800000,406.3,407.5,405.73,406.14,25644.26,1603670399999,10425155.93261,14852,12043.572,4896396.16001,0
1603670400000,406.14,408.8,403.0,408.18,120738.137,1603673999999,48970733.67612,33596,58898.736,23907546.15653,0
1603674000000,408.19,409.36,407.07,408.5,61574.047,1603677599999,25143928.59693,23578,30827.698,12588188.67106,0
1603677600000,408.5,410.12,407.8,409.09,71087.517,1603681199999,29090949.77093,21842,38373.311,15706157.10719,0
1603681200000,409.09,411.18,408.44,408.97,69703.244,1603684799999,28568305.86823,23641,32314.599,13248144.67765,0
1603684800000,408.96,409.28,407.0,408.18,53193.403,1603688399999,21720187.50361,20274,26097.891,10659560.89312,0
1603688400000,408.25,409.18,406.2,407.15,51008.146,1603691999999,20799248.29677,18318,21082.06,8597363.50114,0
1603692000000,407.15,407.73,405.48,406.55,59681.341,1603695599999,24255841.88064,19929,26314.989,10697672.45164,0
1603695600000,406.55,406.87,404.54,405.29,61145.899,1603699199999,24811170.52719,21228,24925.236,10115742.06207,0
1603699200000,405.32,407.0,401.0,406.22,168568.609,1603702799999,68117485.65915,39284,75378.282,30480361.86771,0
1603702800000,406.25,406.93,405.71,406.52,42869.925,1603706399999,17419632.40523,21220,20443.245,8307438.48376,0
1603706400000,406.52,407.9,404.77,407.07,62859.729,1603709999999,25537952.72313,24659,28815.607,11709464.75787,0
1603710000000,407.08,407.98,404.3,405.3,71221.899,1603713599999,28955090.21106,23148,33010.575,13424520.13479,0
1603713600000,405.3,405.8,403.36,404.32,81448.46,1603717199999,32951286.43394,25215,34650.213,14022375.59788,0
1603717200000,404.32,407.47,403.42,405.79,101650.998,1603720799999,41208836.63547,29155,49079.364,19902047.44139,0
1603720800000,405.78,406.57,403.06,403.65,72180.794,1603724399999,29215775.50297,25601,31506.819,12756675.14431,0
1603724400000,403.63,403.71,391.01,393.89,467871.181,1603727999999,185968867.44722,89654,194379.335,77277335.3467,0
1603728000000,393.82,395.86,383.58,386.96,399341.823,1603731599999,155743324.28309,80103,173037.253,67539358.03351,0
1603731600000,386.97,390.23,382.18,386.14,286669.94,1603735199999,110601165.02061,61247,137054.166,52899016.42295,0
1603735200000,386.15,389.55,384.84,388.83,115533.493,1603738799999,44794267.39591,30174,62849.694,24367167.29688,0
1603738800000,388.83,391.69,388.1,391.58,105375.069,1603742399999,41092922.97609,26394,55407.041,21611825.2387,0
1603742400000,391.58,393.49,390.54,392.15,90098.387,1603745999999,35325774.20475,24633,41029.373,16088560.53107,0
1603746000000,392.15,393.93,391.05,391.95,52097.62,1603749599999,20450830.16286,22660,26166.558,10273297.93828,0
1603749600000,391.96,392.38,389.79,392.24,59296.84,1603753199999,23213028.04869,18618,22791.743,8925438.48008,0
1603753200000,392.23,394.49,391.89,392.43,61098.176,1603756799999,24037509.43348,20036,31497.78,12393909.69721,0
1603756800000,392.43,395.89,392.13,394.49,83861.374,1603760399999,33066085.6352,26096,44298.601,17469683.37316,0
1603760400000,394.5,394.86,393.1,393.91,40516.693,1603763999999,15959211.66751,16276,20461.123,8060105.93036,0
1603764000000,393.92,394.82,392.03,392.45,51273.794,1603767599999,20167222.41711,20946,23221.377,9136063.59602,0
1603767600000,392.45,393.5,391.7,393.09,39422.859,1603771199999,15481682.42961,17157,17881.077,7023205.64708,0
1603771200000,393.1,394.8,393.1,394.4,39330.331,1603774799999,15489584.54861,14680,22775.394,8970627.33784,0
1603774800000,394.41,394.81,392.54,393.01,46621.155,1603778399999,18341235.60114,16202,18786.019,7392056.31597,0
1603778400000,393.01,394.5,392.3,394.49,44909.546,1603781999999,17658727.94596,14337,21266.923,8363573.53819,0
1603782000000,394.5,395.19,393.2,394.31,62408.208,1603785599999,24607858.98885,16901,32555.357,12837797.23613,0
1603785600000,394.3,394.85,392.98,393.67,65143.732,1603789199999,25653569.9113,18200,30802.031,12129973.99533,0
1603789200000,393.67,393.96,390.0,392.1,118055.979,1603792799999,46243850.87008,26558,52954.966,20743878.89109,0
1603792800000,392.1,397.0,391.52,396.38,156366.516,1603796399999,61753717.11533,34363,84342.969,33302046.3868,0
1603796400000,396.38,403.81,395.7,402.37,287357.892,1603799999999,114969083.36169,58537,152639.443,61071090.57546,0
1603800000000,402.36,405.3,400.7,403.97,146300.801,1603803599999,58957126.47904,38300,76595.508,30877639.23233,0
1603803600000,403.93,407.0,402.03,403.52,180635.953,1603807199999,73082092.68114,40711,87604.243,35457270.22322,0
1603807200000,403.52,404.49,401.06,403.41,107041.907,1603810799999,43151881.98132,26170,52091.125,21012266.85349,0
1603810800000,403.41,406.98,403.26,406.4,131849.852,1603814399999,53372203.94285,31018,72241.052,29250791.09782,0
1603814400000,406.44,410.0,405.83,409.91,185474.255,1603817999999,75713055.97599,45626,91466.447,37345033.378,0
1603818000000,409.91,410.58,407.6,408.2,106934.987,1603821599999,43741721.16529,28295,47657.155,19497262.67289,0
1603821600000,408.21,409.73,402.13,406.23,176595.654,1603825199999,71666187.54907,37290,71363.433,28962800.26524,0
1603825200000,406.23,407.66,405.17,406.43,54698.477,1603828799999,22235642.23221,16894,29311.351,11915502.51919,0
1603828800000,406.43,407.0,401.34,403.34,105803.104,1603832399999,42791276.67883,25190,43795.652,17723562.19741,0
1603832400000,403.33,405.44,402.5,403.04,47195.557,1603835999999,19075509.84417,19964,21374.614,8641500.40709,0
1603836000000,403.04,405.64,401.68,405.18,64653.683,1603839599999,26101975.07241,19170,32793.883,13243495.97557,0
1603839600000,405.18,406.0,402.0,403.6,58935.031,1603843199999,23815479.63069,21129,27069.241,10937958.6068,0
1603843200000,403.59,406.4,402.7,405.6,55653.287,1603846799999,22527988.95726,18586,28517.206,11543538.6717,0
1603846800000,405.59,409.65,404.8,408.12,72446.761,1603850399999,29514689.15126,23128,39094.929,15929597.70779,0
1603850400000,408.13,408.3,406.73,408.29,65433.982,1603853999999,26665531.51709,20684,31984.927,13035712.61283,0
1603854000000,408.29,408.42,404.35,405.96,81522.898,1603857599999,33123685.14685,25911,34099.007,13856383.67486,0
1603857600000,405.96,407.4,404.62,405.83,48060.11,1603861199999,19500656.02147,18945,20718.329,8407587.29151,0
1603861200000,405.83,406.65,403.5,405.07,57371.097,1603864799999,23231380.35923,19124,24552.048,9943691.44963,0
1603864800000,405.08,405.97,402.5,402.76,45968.748,1603868399999,18583898.47939,16184,18562.841,7507218.20662,0
1603868400000,402.77,403.41,394.34,396.82,236495.362,1603871999999,94118635.81675,53580,100701.076,40067812.39372,0
1603872000000,396.82,397.65,391.1,397.03,176683.693,1603875599999,69734257.8886,43411,81304.926,32099991.83416,0
1603875600000,397.03,398.71,393.0,393.71,93879.37,1603879199999,37188949.80257,29946,41296.307,16371247.81295,0
1603879200000,393.7,397.0,391.42,394.55,125832.146,1603882799999,49623048.29721,34402,60067.665,23695981.45589,0
1603882800000,394.55,394.58,386.29,386.72,296088.603,1603886399999,115474344.48967,68297,128455.718,50129663.93692,0
1603886400000,386.71,390.68,385.24,390.08,211781.895,1603889999999,82235420.40389,49826,100550.096,39057990.57793,0
1603890000000,390.08,392.57,386.44,386.62,158348.95,1603893599999,61666900.59449,36477,74282.915,28947852.97753,0
1603893600000,386.63,388.66,379.28,385.95,338112.122,1603897199999,129990280.04379,68136,156098.043,60040008.34283,0
1603897200000,385.95,387.98,384.76,387.46,108195.594,1603900799999,41848030.7565,29416,57466.143,22231574.95691,0
