,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close,drawdown_max_h1,drawdown_max_h4,drawdown_max_h12,drawdown_max_h24
2021-04-27 16:01:03,1619539200000,2665.35,2681.85,2627.0,2635.8,9018.94,23772122.052,2672.95,True,False,2672.95,True,False,-0.010755906395555473,-0.00980190426308005,-0.010755906395555473,-0.00980190426308005,-0.015712976299594082,0.01633027179707817,0.0031868882312768936,0.004154336444343204,0.0031868882312768936,0.004154336444343204,-0.0018400485621065193,0.030654829653236102,-0.01438835424991086,-0.049486934173748325,-0.059616935862081936,-0.08749319976738508
2021-04-27 17:00:02,1619542800000,2635.8,2646.75,2622.0,2644.2,3172.46,8388618.732,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,-0.0052356020942409065,-0.03710448440701122,-0.04059488580317171,-0.07726307003566282
2021-04-27 17:59:01,1619546400000,2644.2,2645.9,2627.5,2643.75,1811.53,4789232.4375,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,-0.006315709855532796,-0.008981922698736858,-0.041884123742530824,-0.08019438771651151
2021-04-27 19:00:11,1619550000000,2643.75,2644.0,2604.65,2623.15,4350.74,11412643.631,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,-0.01478959810874701,-0.01478959810874701,-0.04172104018912536,-0.08003782505910162
2021-04-27 19:59:10,1619553600000,2623.15,2649.0,2623.15,2646.75,3476.44,9201267.57,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,0.0,-0.007052589443989097,-0.03419552827707156,-0.0728132207460496
2021-04-27 21:00:20,1619557200000,2646.75,2652.65,2624.3,2645.3,4762.97,12599484.541,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,-0.00848210068952482,-0.015906300179465347,-0.042807216397468664,-0.0640974780391046
2021-04-27 21:59:19,1619560800000,2645.3,2645.6,2614.0,2623.75,3488.33,9152505.8375,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,-0.011832306354666835,-0.015366877102786107,-0.042282538842475466,-0.061297395380486175
2021-04-27 23:00:29,1619564400000,2623.75,2667.95,2610.45,2667.95,6479.71,17287542.2945,2681.85,False,False,2681.85,False,False,,,,,,,,,,,,,-0.005069080514530798,-0.005069080514530798,-0.03441638875655081,-0.05358742258218196
2021-04-27 23:59:28,1619568000000,2667.95,2699.0,2667.55,2694.0,6389.18,17212450.92,2681.85,True,True,2681.85,True,True,0.007998210190726652,-0.018979435837201967,0.007998210190726652,-0.018979435837201967,0.015604899602886035,0.015679474989279858,0.003452115812917662,-0.023403860430586555,0.003452115812917662,-0.023403860430586555,0.011024498886414186,0.011098737936154452,-0.00014992784722338734,-0.02155212803838153,-0.05041323862890984,-0.06926666541726784
2021-04-28 01:00:38,1619571600000,2694.0,2717.5,2686.25,2703.3,5320.86,14383880.838,2699.0,True,True,2699.0,True,True,-0.01565394590589107,-0.030881808077065545,-0.01565394590589107,-0.030881808077065545,0.0029825861430159994,0.008929233049277476,-0.017219694447527162,-0.032423334443088106,-0.017219694447527162,-0.032423334443088106,0.0013871934302519143,0.007324381311730006,-0.002876763177431329,-0.031013363028953297,-0.05790645879732739,-0.07826651818856716
2021-04-28 01:59:37,1619575200000,2703.3,2703.7,2654.8,2656.75,4548.73,12084838.4275,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.01794103503125809,-0.03434690933303753,-0.036492435171827056,-0.08143750231198908
2021-04-28 03:00:47,1619578800000,2656.75,2656.75,2630.8,2630.8,6301.43,16577802.044,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.009767573162698717,-0.009767573162698717,-0.019610426272701573,-0.06212477651265651
2021-04-28 03:59:46,1619582400000,2630.8,2651.55,2622.6,2630.95,4355.57,11459286.8915,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.003116922609092395,-0.003116922609092395,-0.009939942222898011,-0.04726699102934482
2021-04-28 05:00:56,1619586000000,2630.95,2646.5,2603.9,2615.65,4848.4,12681717.46,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.010281457268287018,-0.010281457268287018,-0.010281457268287018,-0.038826279480795776
2021-04-28 05:59:55,1619589600000,2615.65,2617.95,2564.0,2589.7,9232.27,23908809.619,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.01974652572018431,-0.01974652572018431,-0.01974652572018431,-0.03142622292737953
2021-04-28 07:01:05,1619593200000,2589.7,2620.95,2581.9,2613.15,5754.57,15037554.5955,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.0030119318840019027,-0.009923929412673213,-0.009923929412673213,-0.021720662625014483
2021-04-28 08:00:04,1619596800000,2613.15,2627.55,2590.0,2590.05,4180.22,10826978.811,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.00885903985611239,-0.01880871744829041,-0.01880871744829041,-0.030499588619099658
2021-04-28 08:59:03,1619600400000,2590.05,2615.4,2581.0,2603.6,3356.53,8739061.508,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.0034941410397483375,-0.010057720893419116,-0.010057720893419116,-0.021852859983398143
2021-04-28 10:00:13,1619604000000,2603.6,2639.8,2595.0,2635.95,3571.55,9414427.2225,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-0.003303118758641846,-0.008680288830849559,-0.015209709632816067,-0.026943462897526537
2021-04-28 10:59:12,1619607600000,2635.95,2709.6,2635.85,2693.55,9611.07,25887897.5985,2717.5,False,False,2717.5,False,False,,,,,,,,,,,,,-3.7936986665114686e-05,-0.02084637417249941,-0.027295661905574774,-0.03888541133177792
2021-04-28 12:00:22,1619611200000,2693.55,2736.75,2683.45,2723.7,8836.45,24067838.865,2717.5,True,True,2717.5,True,True,-0.003845446182152647,-0.00033118675252993227,-0.003845446182152647,-0.00033118675252993227,0.0023551057957682028,0.025648574057037653,-0.0061130080405329655,-0.002606748173440507,-0.0061130080405329655,-0.002606748173440507,7.342952601250977e-05,0.023313874508940045,-0.0037496983534741745,-0.0417850049191588,-0.048096378385402226,-0.05943828776150446
