,entry strat, entry_strategy, sl_strategy, tp_strategy, num trades, perf, avg_perf, win_rate
188318,{'mainly_full_green': ['x == True']  '30d_dollar_volume_rank': ['x == 2']  'longs_24h_chg%': ['x < -5']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_previous_low,tp_xpercent_2.5,7,12.8,1.83,85.7
178321,{'relative_volume': ['x > 2']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_x_sigma_2.5,20,12.8,0.64,45.0
187306,{'duration_above_SMA20_d': ['x > 2']  'longs_24h_chg%': ['x < -1']  'oi_24h_chg%': ['x > 1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_xpercent_2.5,15,12.8,0.85,40.0
107051,{'week_end': ['x == False']  '30d_dollar_volume_rank': ['x == 2']  '30d_volume_per_trade_rank': ['x == 2']  'n_hours_breakout_close': ['x > 4320']},entry_close,sl_x_sigma_1,tp_xpercent_2.5,18,12.8,0.71,50.0
175972,{'relative_volume': ['x > 2']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_x_sigma_2.5,20,12.8,0.64,45.0
5306,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  'prev_24h_chg': ['x > 1']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1,tp_xpercent_3,28,12.8,0.46,35.7
24959,{'closed_green': ['x == True']  '7d_dollar_volume_rank': ['x == 2']  'longs_24h_chg%': ['x < -5']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_5,8,12.8,1.6,50.0
101329,{'week_end': ['x == False']  '7d_volume_per_trade_rank': ['x == 2']  'prev_3h_chg': ['x > 1']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1,tp_xpercent_1.5,22,12.8,0.58,68.2
73506,{'30d_volume_per_trade_rank': ['x == 2']  '30d_volume_rank': ['x == 2']  'long_%': ['x < 70']  'n_hours_breakout_close': ['x > 4320']},entry_close,sl_x_sigma_1,tp_xpercent_2.5,18,12.8,0.71,50.0
135307,{'week_end': ['x == False']  '7d_volume_per_trade_rank': ['x == 2']  'prev_3h_chg': ['x > 1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_4,13,12.79,0.98,30.8
